title,genre,publisher,developer,console,total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_date,num_platforms
MLB 14 The Show,Sports,Sony Computer Entertainment America,SCE San Diego Studio,"PS3, PSV",0.55,0.44,0.00,0.00,0.11,76.50,2014-04-01,2
Petz Catz Clan,Simulation,Ubisoft,Ubisoft,DS,0.55,0.47,0.00,0.03,0.04,50.00,2008-11-18,1
ZhuZhu Pets 2: Featuring The Wild Bunch,Simulation,Activision,Black Lantern Studios,DS,0.55,0.40,0.00,0.11,0.04,0.00,2010-10-19,1
Grease,Misc,505 Games,Zoe Mode,Wii,0.55,0.26,0.00,0.24,0.05,0.00,2010-08-24,1
Goosebumps HorrorLand,Adventure,Scholastic Inc.,Gusto Games,"DS, PS2, Wii",0.55,0.48,0.00,0.03,0.04,0.00,2008-11-04,3
Derby Stallion 04,Sports,Enterbrain,ParityBit,PS2,0.55,0.00,0.55,0.00,0.00,0.00,2004-04-22,1
NBA Jam,Sports,Acclaim Entertainment,Acclaim Entertainment,"PS2, XB",0.55,0.30,0.00,0.19,0.05,0.00,2003-09-23,2
Contender 2,Fighting,BAM! Entertainment,Bam Entertainment,PS,0.55,0.31,0.00,0.21,0.04,0.00,2000-12-19,1
Inazuma Eleven GO: Dark / Shine,Role-Playing,Level 5,Level 5,3DS,0.55,0.00,0.48,0.07,0.00,0.00,2011-12-15,1
Shin Super Robot Taisen,Strategy,Banpresto,Winky Soft,PS,0.55,0.00,0.52,0.00,0.04,0.00,1996-12-27,1
WWF Raw (2002),Fighting,THQ,Anchor,XB,0.55,0.40,0.00,0.13,0.02,65.00,2002-02-11,1
Jak X: Combat Racing,Racing,Sony Computer Entertainment,Naughty Dog,PS2,0.55,0.45,0.00,0.02,0.07,0.00,2005-10-18,1
Donkey Kong Jungle Climber,Platform,Nintendo,Paon Corporation,DS,0.55,0.25,0.24,0.03,0.03,78.00,2007-09-10,1
Project Versus J,Misc,Namco Bandai Games,Unknown,"PS3, PSV",0.55,0.07,0.37,0.08,0.03,0.00,2015-06-30,2
Press Your Luck 2010 Edition,Misc,Ubisoft,Ludia Inc.,"DS, Wii",0.55,0.52,0.00,0.00,0.04,0.00,2009-10-27,2
Kingdom Hearts: Final Mix,Role-Playing,Square,SquareSoft,PS2,0.55,0.00,0.55,0.00,0.00,0.00,2002-12-26,1
Secret Agent Clank(US sales),Platform,Sony Computer Entertainment,High Impact Games,PSP,0.55,0.33,0.00,0.22,0.00,72.00,2008-06-17,1
Disney's The Haunted Mansion,Platform,TDK Mediactive,High Voltage Software,"GC, PS2, XB",0.55,0.33,0.00,0.18,0.05,0.00,2003-10-14,3
Soul Reaver 2,Adventure,Eidos Interactive,Crystal Dynamics,PS2,0.55,0.27,0.00,0.21,0.07,0.00,2001-10-31,1
Breath of Fire II,Role-Playing,Capcom,Capcom,"GBA, SNES",0.55,0.14,0.36,0.05,0.00,84.50,1995-12-01,2
Jump Super Stars,Fighting,Nintendo,Ganbarion,DS,0.55,0.00,0.55,0.00,0.00,0.00,2005-08-08,1
Super Robot Taisen F,Action,Banpresto,Banpresto,SAT,0.55,0.00,0.55,0.00,0.00,0.00,1997-09-25,1
American Idol,Misc,Codemasters,Hothouse Creations,PS2,0.55,0.27,0.00,0.21,0.07,0.00,2003-11-11,1
Despicable Me: The Game,Platform,D3 Publisher,Monkey Bar Games,"PS2, PSP, Wii",0.55,0.26,0.00,0.21,0.07,0.00,2010-07-06,3
Pro Evolution Soccer 2019,Sports,Konami,Konami,"PS4, XOne",0.55,0.08,0.15,0.25,0.05,0.00,2018-08-28,2
Viva Pinata: Pocket Paradise,Simulation,THQ,Rare Ltd.,DS,0.55,0.26,0.00,0.23,0.06,81.00,2008-09-08,1
Mortal Kombat 3,Fighting,Sony Computer Entertainment,Midway Games,PS,0.55,0.29,0.02,0.20,0.04,0.00,1995-10-07,1
Pro Yakyuu Spirits 2010,Sports,Konami,PawaPuro Production,"PS2, PS3, PSP",0.55,0.00,0.55,0.00,0.00,0.00,2010-04-01,3
FlatOut,Racing,Empire Interactive,Bugbear Entertainment,"PS2, XB",0.55,0.31,0.00,0.19,0.06,0.00,2005-07-12,2
Over the Hedge,Platform,Activision,Vicarious Visions,"DS, GBA",0.55,0.43,0.00,0.08,0.02,71.00,2006-05-05,2
High Rollers Casino,Misc,Mud Duck Productions,Bethesda Softworks,"PS2, XB",0.55,0.30,0.00,0.19,0.05,0.00,2004-11-07,2
South Park: Chef's Luv Shack,Misc,Acclaim Entertainment,Acclaim Studios Austin,"N64, PS",0.55,0.36,0.00,0.17,0.02,42.50,1999-10-31,2
